measureDevice,measurePt,yPos,yVelo,direction,yAccel,yJerk,index1_disp_peak,index2_disp_peak_moment,index3_disp_interval,index4_velo_peak,index5_velo_peak_moment,index6_velo_rising_time,index7_accel_peak,index8_accel_peak_moment,index9_accel_interval,useless
IDS,1,-1500,5000,1,1,140,-0.0644943829208084,13.7356,2.49288532834809,5074.67717741376,0.434350000000002,0.316199999999999,0.804681292092516,4.98575,0.361930944103828,15
IDS,1,-1500,30000,1,1,140,-0.0671102212854748,10.3082333333334,0.94295111283981,23383.157421231,0.942899999999998,0.810199999999998,0.955975022116446,1.8858,0.886724245821752,16
IDS,1,-3000,5000,1,1,140,-0.145836664758159,13.7364333333333,2.49285287620136,5074.13749728841,0.434500000000007,0.316300000000009,0.804749688558767,4.9858,0.36177112212373,17
IDS,1,-3000,30000,1,1,140,-0.146448607548185,10.3073,9.33109655194278,23377.9080791783,0.942950000000003,0.810200000000002,0.955902505605787,1.59525,0.93480648787784,18
IDS,1,0,5000,1,2,40,-0.0123828122955558,NaN,2.4501761338871,5224.29245614221,0.314100000000001,0.226349999999999,1.17156020626904,4.90035,0.279251020234269,19
IDS,1,0,30000,1,2,40,-0.00702261504718156,9.3864,0.678447831828056,30307.7368454748,0.6785,0.5624,1.86139929774032,1.35695,0.678450698397338,20
IDS,1,-1500,5000,1,2,40,-0.0702481160853949,12.6172,2.45016765342459,5067.20964582883,0.3141,0.226300000000002,1.17162086779748,4.9004,0.259288623914665,21
IDS,1,-1500,30000,1,2,40,-0.0652845192153109,9.3861333333333,0.678447935932132,30306.7077663963,0.678449999999998,0.562449999999998,1.86474259740376,1.3569,0.618544039290097,22
IDS,1,-3000,5000,1,2,40,-0.15059960536064,12.6177333333334,9.74188456982659,5065.92530147574,0.314050000000002,0.226350000000004,1.17106557594474,4.9004,0.259414094635761,23
IDS,1,-3000,30000,1,2,40,-0.145430808523543,9.38603333333329,0.678453861715762,30304.1737629022,0.678450000000005,0.562449999999998,1.86456673624804,1.21615,0.628492160630977,24
IDS,1,0,5000,1,2,80,-0.0199786884844665,NaN,2.44743911804431,5227.02201654436,0.2929,0.21105,1.25285495202838,4.89495,0.260937047255301,25
IDS,1,0,30000,1,2,80,-0.00738912593159095,9.3762666666667,0.677994647647491,30407.7133858686,0.677949999999999,0.562700000000001,1.86198952383047,1.35595,0.677980617156007,26
IDS,1,-1500,5000,1,2,80,-0.0788025387528251,12.5987,2.44743452184107,5069.87379893473,0.2928,0.211000000000002,1.25306566766958,4.8949,0.241815448761615,27
IDS,1,-1500,30000,1,2,80,-0.0666299798491915,9.3762333333333,0.67799320373017,30407.1600883436,0.678000000000001,0.562750000000001,1.87225522312201,1.356,0.610223118390826,28
IDS,1,-3000,5000,1,2,80,-0.155568209198615,12.5986,9.73068723365882,5070.17700276685,0.292849999999998,0.21105,1.25253032842461,4.89485,0.241956607376307,29
IDS,1,-3000,30000,1,2,80,-0.146626199948666,9.3765666666667,0.6779999122892,30407.6557475639,0.678000000000004,0.562799999999996,1.87207525115628,1.20595,0.617952979424592,30
IDS,1,0,5000,1,2,140,-0.0226530327922395,NaN,2.44708684013755,5227.35821669989,0.289549999999999,0.2086,1.26636827251486,4.8943,0.258046880462901,31
IDS,1,0,30000,1,2,140,-0.0068580058453828,9.3752333333333,0.677942805139855,30421.3313090197,0.677950000000001,0.562799999999998,1.86199015663389,1.3559,0.67793824877403,32
IDS,1,-1500,5000,1,2,140,-0.0822957298287292,12.5955666666667,2.44712925901121,5070.60578556668,0.2896,0.208600000000004,1.26626223256638,4.89425,0.239161360625285,33
IDS,1,-1500,30000,1,2,140,-0.0671414339786528,9.3751333333333,0.677939047227438,30420.8503702434,0.677949999999999,0.562799999999999,1.87316411025604,1.3559,0.609111262373117,34
